date,activeCases,deaths,recoveries
02/15/20,3,0,0
02/16/20,3,0,0
02/17/20,3,0,0
02/18/20,3,0,0
02/19/20,3,0,0
02/20/20,4,0,2
02/21/20,19,0,1
02/22/20,75,0,1
02/23/20,152,0,0
02/24/20,221,4,0
02/25/20,310,4,1
02/26/20,455,0,1
02/27/20,593,5,42
02/28/20,822,4,1
02/29/20,1049,8,4
03/01/20,1577,12,33
03/02/20,1835,11,66
03/03/20,2263,27,11
03/04/20,2706,28,116
03/05/20,3296,41,138
03/06/20,3916,49,109
03/07/20,5061,36,66
03/08/20,6387,133,33
03/09/20,7985,97,102
03/10/20,8514,168,280
03/11/20,10590,196,41
03/12/20,12839,189,213
03/13/20,14955,250,181
03/14/20,17750,175,527
03/15/20,20603,368,369
03/16/20,23073,349,414
03/17/20,26062,345,192
03/18/20,28710,475,1084
03/19/20,33190,427,415
03/20/20,37860,627,689
03/21/20,42681,793,943
